,day,date,census_hospitalized,census_icu,census_ventilated
0,-47,2020-02-21,0.0,0.0,0.0
1,-46,2020-02-22,0.3059261876082413,0.09177785628247248,0.061185237521648284
2,-45,2020-02-23,0.6835882719281545,0.20507648157844643,0.13671765438563094
3,-44,2020-02-24,1.149805606104412,0.3449416818313236,0.22996112122088241
4,-43,2020-02-25,1.7253400889123414,0.5176020266737025,0.34506801778246826
5,-42,2020-02-26,2.4358198173572063,0.730745945207162,0.48716396347144125
6,-41,2020-02-27,3.3128788684365893,0.9938636605309769,0.6625757736873179
7,-40,2020-02-28,4.395563645398282,1.3186690936194845,0.8791127290796564
8,-39,2020-02-29,5.426141733511322,1.7196203763358688,1.1464135842239127
9,-38,2020-03-01,6.698284811596643,2.2145619250574393,1.4763746167049598
10,-37,2020-03-02,8.268582120860842,2.8255163180895755,1.8836775453930505
11,-36,2020-03-03,10.206862262216223,3.487882849056096,2.3252552327040648
12,-35,2020-03-04,12.599281558632981,4.30545393121861,2.870302620812407
13,-34,2020-03-05,15.552128096440677,5.314560407631856,3.5430402717545717
14,-33,2020-03-06,19.19650480101226,6.560018507249458,4.373345671499639
15,-32,2020-03-07,23.69409087514316,8.097101693671654,5.3980677957811025
16,-31,2020-03-08,29.244224122989845,9.993965501423412,6.662643667615609
17,-30,2020-03-09,36.092598164219154,12.334626673735837,8.223084449157225
18,-29,2020-03-10,44.54192930570433,15.222619120713997,10.148412747142666
19,-28,2020-03-11,54.96501862432368,18.785474075036717,12.523649383357814
20,-27,2020-03-12,67.8207158151749,23.180200515926074,15.453467010617386
21,-26,2020-03-13,83.67338172669578,28.599974346593328,19.066649564395547
22,-25,2020-03-14,103.21654358027295,35.28228030016365,23.521520200109094
23,-24,2020-03-15,127.30153499875699,43.51878757211831,29.012525048078874
24,-23,2020-03-16,156.97200168025628,53.667275737509044,35.77818382500603
25,-22,2020-03-17,193.5052148900183,66.16595632517652,44.110637550117694
26,-21,2020-03-18,238.46113953452925,81.55054869849855,54.367032465665694
27,-20,2020-03-19,293.74010509031626,100.47445259375522,66.98296839583682
28,-19,2020-03-20,361.6496551302303,123.7322920939511,82.48819472930076
29,-18,2020-03-21,444.9805989761785,152.28695440572008,101.52463627048007
30,-17,2020-03-22,475.0576613415642,165.68987123003507,110.45991415335675
31,-16,2020-03-23,501.87595700444217,179.12804832083293,119.41869888055533
32,-15,2020-03-24,524.0044853222846,192.40233884778,128.26822589852003
33,-14,2020-03-25,539.649424100619,205.25491542905706,136.83661028603808
34,-13,2020-03-26,546.5756198623271,217.35553804837645,144.903692032251
35,-12,2020-03-27,542.0141798653025,228.28498158653633,152.1899877243576
36,-11,2020-03-28,522.5551745858374,237.5151649211125,158.34344328074172
37,-10,2020-03-29,556.0589303162479,244.38551879781454,162.92367919854308
38,-9,2020-03-30,591.4734015066032,248.0751722337448,165.38344815582985
39,-8,2020-03-31,628.8750000512051,247.570659170288,165.0471061135253
40,-7,2020-04-01,668.338571357129,263.23918843372655,175.49279228915103
41,-6,2020-04-02,709.9365740195462,279.77372315290773,186.5158154352718
42,-5,2020-04-03,753.7381540128251,297.20508219369844,198.1367214624657
43,-4,2020-04-04,799.8081081948569,315.5627701493838,210.37518009958924
44,-3,2020-04-05,848.2057330930108,334.8745527670196,223.24970184467978
45,-2,2020-04-06,898.9835564949947,355.16598522265247,236.77732348176832
46,-1,2020-04-07,952.1859513568993,376.45989220160646,250.97326146773779
47,0,2020-04-08,1007.8476340114469,398.77579954228617,265.85053302819085
48,1,2020-04-09,1065.9920516531736,422.12931819687867,281.41954546458584
49,2,2020-04-10,1126.6296676254208,446.53148246596317,297.68765497730897
50,3,2020-04-11,1189.756157153371,471.98804588825647,314.6586972588377
51,4,2020-04-12,1255.3505308542308,498.4987398174249,332.33249321161674
52,5,2020-04-13,1323.373208580651,526.0565015930001,350.70433439533343
53,6,2020-04-14,1393.7640718541365,554.6466812993903,369.76445419959373
54,7,2020-04-15,1466.4405292203246,584.2462383804803,389.4974922536537
55,8,2020-04-16,1541.2956351612597,614.8229417967578,409.88196119783873
56,9,2020-04-17,1618.1963095348215,646.3345899193398,430.8897266128933
57,10,2020-04-18,1696.9817106284122,678.7282688733461,452.4855125822308
58,11,2020-04-19,1777.461820509708,711.9396704743854,474.62644698292365
59,12,2020-04-20,1859.4163060769515,745.8924931284593,497.2616620856396
60,13,2020-04-21,1942.5937226575343,780.4979509506394,520.3319673004266
61,14,2020-04-22,2026.7111287478679,815.6544177485715,543.7696118323811
62,15,2020-04-23,2111.4541800896486,851.2472332494576,567.4981554996385
63,16,2020-04-24,2196.4777683102857,887.1486988561844,591.4324659041232
64,17,2020-04-25,2281.4072634349604,923.218289137737,615.4788594251581
65,18,2020-04-26,2365.8404104001365,959.3031030460488,639.5354020306993
66,19,2020-04-27,2449.34991707693,995.2385753910919,663.4923835940614
67,20,2020-04-28,2531.486755218197,1030.8494643275749,687.2329762183834
68,21,2020-04-29,2611.7841763389833,1065.951124497354,710.6340829982362
69,22,2020-04-30,2689.7624222120858,1100.3510680899979,733.5673787266653
70,23,2020-05-01,2764.934085034337,1133.8508075692255,755.9005383794834
71,24,2020-05-02,2836.810046262085,1166.2479643920012,777.4986429280011
72,25,2020-05-03,2904.9058967176006,1197.3386180344337,798.225745356289
73,26,2020-05-04,2968.7487151079113,1226.9198594303796,817.9465729535866
74,27,2020-05-05,3027.8840589732736,1254.7925029890685,836.5283353260459
75,28,2020-05-06,3081.883002734641,1280.7639021977047,853.8426014651368
76,29,2020-05-07,3130.349043321461,1304.6508059633575,869.7672039755714
77,30,2020-05-08,3172.9246860520143,1326.28218681937,884.1881245462462
78,31,2020-05-09,3209.297522955152,1345.5019683768523,897.0013122512344
79,32,2020-05-10,3239.2056231435563,1362.1715783138748,908.1143855425832
80,33,2020-05-11,3262.442070308025,1376.1722550124855,917.4481700083243
81,34,2020-05-12,3278.858505544653,1387.4070407738395,924.9380271825601
82,35,2020-05-13,3288.367563700014,1395.8024022924296,930.5349348616201
83,36,2020-05-14,3290.944126910772,1401.3094295042156,934.2062863361434
84,37,2020-05-15,3286.625358323963,1403.9045766245772,935.936384416385
85,38,2020-05-16,3275.509520140713,1403.5899235986744,935.7266157324502
86,39,2020-05-17,3257.7536210196413,1400.3929516233288,933.5953010822195
87,40,2020-05-18,3233.569976414041,1394.3658421210948,929.5772280807305
88,41,2020-05-19,3203.2217996717463,1385.5843237888175,923.722882525879
89,42,2020-05-20,3167.017970072786,1374.146106371199,916.0974042474663
90,43,2020-05-21,3125.307145200981,1360.1689519721021,906.7793013147343
91,44,2020-05-22,3078.471398403988,1343.7884444823785,895.8589629882517
92,45,2020-05-23,3026.919567361725,1325.1555246971875,883.4370164647921
93,46,2020-05-24,2971.080497216415,1304.4338627150228,869.622575143349
94,47,2020-05-25,2911.396352020278,1281.797140229989,854.5314268199922
95,48,2020-05-26,2848.3161524827483,1257.4263134914281,838.2842089942851
96,49,2020-05-27,2782.2896774559595,1231.506923302094,821.0046155347295
97,50,2020-05-28,2713.761842726846,1204.2265118659434,802.8176745772957
98,51,2020-05-29,2643.1676449593397,1175.7721980686565,783.8481320457709
99,52,2020-05-30,2570.927732447617,1146.3284534096365,764.2189689397578
100,53,2020-05-31,2497.444638948069,1116.0751108391487,744.0500738927658
101,54,2020-06-01,2423.0996932875605,1085.1856286950597,723.4570857967074
102,55,2020-06-02,2348.2505964896627,1053.8256222298096,702.5504148198725
103,56,2020-06-03,2273.2296403532564,1022.1516662431459,681.434444162097
104,57,2020-06-04,2198.342527049739,990.3103643747818,660.2069095831885
105,58,2020-06-05,2123.867738442026,958.4376738564388,638.9584492376252
106,59,2020-06-06,2050.0563963543136,926.6584690791433,617.7723127194286
107,60,2020-06-07,1977.1325506721842,895.0863232227493,596.7242154818323
108,61,2020-06-08,1905.2938305626885,863.8234843760647,575.8823229173768
109,62,2020-06-09,1834.7123948482003,832.9610209499833,555.3073472999886
110,63,2020-06-10,1765.5361201906599,802.579110615924,535.052740410616
111,64,2020-06-11,1697.889969798107,772.7474473279462,515.1649648852972
112,65,2020-06-12,1631.877490429135,743.5257420382804,495.6838280255206
113,66,2020-06-13,1567.5823911642728,714.964294322448,476.642862881632
114,67,2020-06-14,1505.0701634100587,687.1046141308452,458.0697427538971
115,68,2020-06-15,1444.3897076309804,659.9800751327512,439.98671675516835
116,69,2020-06-16,1385.5749381543355,633.6165834899903,422.4110556599935
117,70,2020-06-17,1328.6463429048854,608.0332482857348,405.3554988571568
118,71,2020-06-18,1273.6124799890204,583.2430421558447,388.82869477056283
119,72,2020-06-19,1220.4713975949453,559.2534428623048,372.8356285748696
120,73,2020-06-20,1169.2119676723887,536.0670485669662,357.37803237797834
121,74,2020-06-21,1119.815127297632,513.6821613807033,342.4547742538025
122,75,2020-06-22,1072.2550245339407,492.0933353641931,328.0622235761293
123,76,2020-06-23,1026.500067994064,471.2918865389265,314.194591025951
124,77,2020-06-24,982.5138812436126,451.2663636357993,300.8442424238656
125,78,2020-06-25,940.2561646980066,432.0029792759533,288.00198618396917
126,79,2020-06-26,899.68346881248,413.48600205974617,275.65733470649775
127,80,2020-06-27,860.7498831946032,395.69811065387967,263.798740435921
128,81,2020-06-28,823.4076468298008,378.62071143293633,252.41380762195877
129,82,2020-06-29,787.6076849478814,362.2342215700728,241.48948104671672
130,83,2020-06-30,753.3000782138988,346.51831970137937,231.0122131342523
131,84,2020-07-01,720.4344699364883,331.45216642745436,220.96811095163685
132,85,2020-07-02,688.9604168827354,317.0145969805908,211.3430646537272
133,86,2020-07-03,658.8276890995439,303.18428839139324,202.1228589275961
134,87,2020-07-04,629.9865238893617,289.9399034476055,193.29326896507246
135,88,2020-07-05,602.3878387935401,277.26021366159694,184.84014244106493
136,89,2020-07-06,575.9834081154077,265.1242033609524,176.7494689073028
137,90,2020-07-07,550.7260071796518,253.51115689689505,169.00743793126367
138,91,2020-07-08,526.5695281855224,242.40073083417337,161.60048722278225
139,92,2020-07-09,503.46907117639785,231.77301284914574,154.5153418994305
140,93,2020-07-10,481.3810133232146,221.60856892418815,147.73904594945907
141,94,2020-07-11,460.2630594082002,211.8884802891207,141.2589868594132
142,95,2020-07-12,440.0742761018191,202.59437142732168,135.06291428488203
143,96,2020-07-13,420.77511235075144,193.70843033631172,129.13895355754175
144,97,2020-07-14,402.3274079399853,185.2134221120832,123.4756147413882
145,98,2020-07-15,384.69439205727394,177.09269681329351,118.0617978755281
146,99,2020-07-16,367.8406734738055,169.33019245666765,112.88679497111025
147,100,2020-07-17,351.732223759529,161.9104338981524,107.94028926543433
148,101,2020-07-18,336.3363547753288,154.81852826606155,103.21235217737467
149,102,2020-07-19,321.62169152522256,148.04015753197018,98.69343835464679
150,103,2020-07-20,307.5581413094842,141.56156873219516,94.37437915479677
151,104,2020-07-21,294.11685999249676,135.3695622873729,90.2463748582486
152,105,2020-07-22,281.2702160861372,129.45147880858894,86.30098587239172
153,106,2020-07-23,268.9917532494728,123.79518472628479,82.53012315085562
154,107,2020-07-24,257.2561517170798,118.38905703127966,78.9260380208525
155,108,2020-07-25,246.03918909060667,113.221967376061,75.48131158404158
156,109,2020-07-26,235.31770085989046,108.28326574779567,72.18884383186378
157,110,2020-07-27,225.06954096053232,103.56276389249433,69.04184259499652
158,111,2020-07-28,215.27354262232984,99.0507186414743,66.03381242764863
159,112,2020-07-29,205.90947971850255,94.7378152665733,63.158543511048265
160,113,2020-07-30,196.9580287858189,90.61515096918083,60.41010064612237
161,114,2020-07-31,188.40073185255096,86.67421858929447,57.78281239286298
162,115,2020-08-01,180.21996018171922,82.90689060473778,55.27126040315852
163,116,2020-08-02,172.3988790125768,79.30540347672468,52.87026898448403
164,117,2020-08-03,164.9214133615751,75.86234238584439,50.574894923895044
165,118,2020-08-04,157.77221492673925,72.57062639231299,48.380417594875325
166,119,2020-08-05,150.93663012334946,69.42349404560991,46.282329363741155
167,120,2020-08-06,144.4006692666262,66.41448946101082,44.27632630734115
